Column1,Avg attention,Avg Performance,Column4,Column5,,,
0,0.5760482967,0.5,TRUE,43,,,
1,0.6245561588,0.5056,TRUE,46,,0.8364087775,0.856509901
2,0.670338258,0.5117,TRUE,50,,,
3,0.7116884519,0.518,TRUE,56,,,
4,0.7478791075,0.5244,TRUE,61,,,
5,0.7805963806,0.5316,TRUE,63,,,
6,0.8102001678,0.5397,TRUE,64,,,
7,0.8373588074,0.5484,TRUE,72,,,
8,0.8636196559,0.5573,TRUE,81,,,
9,0.8867223591,0.5665,TRUE,87,,,
10,0.9073287748,0.5759,TRUE,89,,,
11,0.9262965695,0.5855,TRUE,92,,,
12,0.9445944208,0.5955,TRUE,94,,,
13,0.9608495601,0.6055,TRUE,96,,,
14,0.9727361643,0.6155,TRUE,100,,,
15,0.9814016784,0.6255,TRUE,100,,,
16,0.9874936427,0.6355,TRUE,100,,,
17,0.9923954041,0.6455,TRUE,100,,,
18,0.9962020821,0.6555,TRUE,100,,,
19,0.998980589,0.6655,TRUE,100,,,
20,1,0.6755,TRUE,100,,,
21,1,0.6855,TRUE,100,,,
22,1,0.6955,TRUE,100,,,
23,1,0.7055,TRUE,100,,,
24,1,0.7155,TRUE,100,,,
25,1,0.7255,TRUE,100,,,
26,1,0.7355,TRUE,100,,,
27,1,0.7455,TRUE,100,,,
28,1,0.7555,TRUE,100,,,
29,1,0.7655,TRUE,100,,,
30,1,0.7755,FALSE,100,,,
31,0.98,0.7855,FALSE,100,,,
32,0.96,0.7955,FALSE,100,,,
33,0.94,0.8055,FALSE,100,,,
34,0.92,0.8155,FALSE,100,,,
35,0.9,0.8255,FALSE,100,,,
36,0.88,0.8355,FALSE,100,,,
37,0.86,0.8455,FALSE,100,,,
38,0.84,0.8555,FALSE,100,,,
39,0.82,0.8655,FALSE,100,,,
40,0.8,0.8755,FALSE,100,,,
41,0.78,0.8855,FALSE,100,,,
42,0.76,0.8955,FALSE,100,,,
43,0.74,0.9055,FALSE,100,,,
44,0.72,0.9155,FALSE,100,,,
45,0.7,0.9255,FALSE,0,,,
46,0.68,0.9355,FALSE,0,,,
47,0.66,0.9455,FALSE,0,,,
48,0.64,0.9555,FALSE,0,,,
49,0.62,0.9655,FALSE,0,,,
50,0.6,0.9655,FALSE,0,,,
51,0.58,0.9655,FALSE,0,,,
52,0.56,0.9655,FALSE,0,,,
53,0.54,0.9655,FALSE,0,,,
54,0.52,0.9655,FALSE,0,,,
55,0.5,0.9655,FALSE,0,,,
56,0.48,0.9655,FALSE,0,,,
57,0.46,0.9655,FALSE,0,,,
58,0.44,0.9655,FALSE,0,,,
59,0.42,0.9655,FALSE,0,,,
60,0.4,0.9655,TRUE,0,,,
61,0.45,0.9655,TRUE,0,,,
62,0.5,0.9655,TRUE,0,,,
63,0.55,0.9655,TRUE,0,,,
64,0.6,0.9655,TRUE,0,,,
65,0.65,0.9755,TRUE,0,,,
66,0.7,0.9799,TRUE,0,,,
67,0.75,0.9838,TRUE,100,,,
68,0.8,0.9875,TRUE,100,,,
69,0.85,0.9911,TRUE,100,,,
70,0.9,0.9939,TRUE,100,,,
71,0.95,0.9958,TRUE,100,,,
72,1,0.9971,TRUE,100,,,
73,1,0.9982,TRUE,100,,,
74,1,0.999,TRUE,100,,,
75,1,0.9996,TRUE,100,,,
76,1,1,TRUE,100,,,
77,1,1,TRUE,100,,,
78,1,1,TRUE,100,,,
79,1,1,TRUE,100,,,
80,1,1,TRUE,100,,,
81,1,1,TRUE,100,,,
82,1,1,TRUE,100,,,
83,1,1,TRUE,100,,,
84,1,1,TRUE,100,,,
85,1,1,TRUE,100,,,
86,1,1,TRUE,100,,,
87,1,1,TRUE,100,,,
88,1,1,TRUE,100,,,
89,1,1,TRUE,100,,,
90,1,1,FALSE,100,,,
91,0.98,1,FALSE,100,,,
92,0.96,1,FALSE,100,,,
93,0.94,1,FALSE,100,,,
94,0.92,1,FALSE,100,,,
95,0.9,1,FALSE,100,,,
96,0.88,1,FALSE,100,,,
97,0.86,1,FALSE,100,,,
98,0.84,1,FALSE,100,,,
99,0.82,1,FALSE,100,,,
100,0.8,1,FALSE,100,,,
101,0.78,1,FALSE,100,,,
102,0.76,1,FALSE,100,,,
103,0.74,1,FALSE,100,,,
104,0.72,1,FALSE,100,,,
105,0.7,1,FALSE,0,,,
106,0.68,1,FALSE,0,,,
107,0.66,1,FALSE,0,,,
108,0.64,1,FALSE,0,,,
109,0.62,1,FALSE,0,,,
110,0.6,1,FALSE,0,,,
111,0.58,1,FALSE,0,,,
112,0.56,1,FALSE,0,,,
113,0.54,1,FALSE,0,,,
114,0.52,1,FALSE,0,,,
115,0.5,1,FALSE,0,,,
116,0.48,1,FALSE,0,,,
117,0.46,1,FALSE,0,,,
118,0.44,1,FALSE,0,,,
119,0.42,1,FALSE,0,,,
120,0.4,1,TRUE,0,,,
121,0.45,1,TRUE,0,,,
122,0.5,1,TRUE,0,,,
123,0.55,1,TRUE,0,,,
124,0.6,1,TRUE,0,,,
125,0.65,1,TRUE,0,,,
126,0.7,1,TRUE,0,,,
127,0.75,1,TRUE,100,,,
128,0.8,1,TRUE,100,,,
129,0.85,1,TRUE,100,,,
130,0.9,1,TRUE,100,,,
131,0.95,1,TRUE,100,,,
132,1,1,TRUE,100,,,
133,1,1,TRUE,100,,,
134,1,1,TRUE,100,,,
135,1,1,TRUE,100,,,
136,1,1,TRUE,100,,,
137,1,1,TRUE,100,,,
138,1,1,TRUE,100,,,
139,1,1,TRUE,100,,,
140,1,1,TRUE,100,,,
141,1,1,TRUE,100,,,
142,1,1,TRUE,100,,,
143,1,1,TRUE,100,,,
144,1,1,TRUE,100,,,
145,1,1,TRUE,100,,,
146,1,1,TRUE,100,,,
147,1,1,TRUE,100,,,
148,1,1,TRUE,100,,,
149,1,1,TRUE,100,,,
150,1,1,FALSE,100,,,
151,0.98,1,FALSE,100,,,
152,0.96,1,FALSE,100,,,
153,0.94,1,FALSE,100,,,
154,0.92,1,FALSE,100,,,
155,0.9,1,FALSE,100,,,
156,0.88,1,FALSE,100,,,
157,0.86,1,FALSE,100,,,
158,0.84,1,FALSE,100,,,
159,0.82,1,FALSE,100,,,
160,0.8,1,FALSE,100,,,
161,0.78,1,FALSE,100,,,
162,0.76,1,FALSE,100,,,
163,0.74,1,FALSE,100,,,
164,0.72,1,FALSE,100,,,
165,0.7,1,FALSE,0,,,
166,0.68,1,FALSE,0,,,
167,0.66,1,FALSE,0,,,
168,0.64,1,FALSE,0,,,
169,0.62,1,FALSE,0,,,
170,0.6,1,FALSE,0,,,
171,0.58,1,FALSE,0,,,
172,0.56,1,FALSE,0,,,
173,0.54,1,FALSE,0,,,
174,0.52,1,FALSE,0,,,
175,0.5,1,FALSE,0,,,
176,0.48,1,FALSE,0,,,
177,0.46,1,FALSE,0,,,
178,0.44,1,FALSE,0,,,
179,0.42,1,FALSE,0,,,
180,0.4,1,TRUE,0,,,
