cycle,avg_attention,avg_performance,is_break,high_attention_count,0,,,
0,0.5525651586,0.5,TRUE,10,,,,
1,0.5991284262,0.5044,TRUE,11,,,,
2,0.6451284262,0.51,TRUE,11,,,,
3,0.6897077225,0.5164,TRUE,11,,,,
4,0.7284942509,0.5232,TRUE,14,,,,
5,0.7629708,0.5304,TRUE,16,,,,
6,0.7946142633,0.5384,TRUE,17,,,,
7,0.8241945399,0.5464,TRUE,18,,,,
8,0.8521945399,0.5552,TRUE,20,,,,
9,0.8801945399,0.5644,TRUE,20,,,,
10,0.9040314671,0.5736,TRUE,22,,,,
11,0.9238471078,0.5828,TRUE,23,,,,
12,0.9413723152,0.5928,TRUE,23,,,,
13,0.95705501,0.6028,TRUE,23,,,,
14,0.9684696173,0.6128,TRUE,25,,,,
15,0.9784696173,0.6228,TRUE,25,,,,
16,0.9852017558,0.6328,TRUE,25,,,,
17,0.9895713095,0.6428,TRUE,25,,,,
18,0.9935713095,0.6528,TRUE,25,,,,
19,0.9975713095,0.6628,TRUE,25,,,,
20,1,0.6728,TRUE,25,,,,
21,1,0.6828,TRUE,25,,,,
22,1,0.6928,TRUE,25,,,,
23,1,0.7028,TRUE,25,,,,
24,1,0.7128,TRUE,25,,,,
25,1,0.7228,TRUE,25,,,,
26,1,0.7328,TRUE,25,,,,
27,1,0.7428,TRUE,25,,,,
28,1,0.7528,TRUE,25,,,,
29,1,0.7628,TRUE,25,,,,
30,1,0.7728,FALSE,25,,,,
31,0.98,0.7828,FALSE,25,,,,
32,0.96,0.7928,FALSE,25,,,,
33,0.94,0.8028,FALSE,25,,,,
34,0.92,0.8128,FALSE,25,,,,
35,0.9,0.8228,FALSE,25,,,,
36,0.88,0.8328,FALSE,25,,,,
37,0.86,0.8428,FALSE,25,,,,
38,0.84,0.8528,FALSE,25,,,,
39,0.82,0.8628,FALSE,25,,,,
40,0.8,0.8728,FALSE,25,,,,
41,0.78,0.8828,FALSE,25,,,,
42,0.76,0.8928,FALSE,25,,,,
43,0.74,0.9028,FALSE,25,,,,
44,0.72,0.9128,FALSE,25,,,,
45,0.7,0.9228,FALSE,0,,,,
46,0.68,0.9328,FALSE,0,,,,
47,0.66,0.9428,FALSE,0,,,,
48,0.64,0.9528,FALSE,0,,,,
49,0.62,0.9628,FALSE,0,,,,
50,0.6,0.9628,FALSE,0,,,,
51,0.58,0.9628,FALSE,0,,,,
52,0.56,0.9628,FALSE,0,,,,
53,0.54,0.9628,FALSE,0,,,,
54,0.52,0.9628,FALSE,0,,,,
55,0.5,0.9628,FALSE,0,,,,
56,0.48,0.9628,FALSE,0,,,,
57,0.46,0.9628,FALSE,0,,,,
58,0.44,0.9628,FALSE,0,,,,
59,0.42,0.9628,FALSE,0,,,,
60,0.4,0.9628,TRUE,0,,,,
61,0.45,0.9628,TRUE,0,,,,
62,0.5,0.9628,TRUE,0,,,,
63,0.55,0.9628,TRUE,0,,,,
64,0.6,0.9628,TRUE,0,,,,
65,0.65,0.9728,TRUE,0,,,,
66,0.7,0.9784,TRUE,0,,,,
67,0.75,0.9828,TRUE,25,,,,
68,0.8,0.9864,TRUE,25,,,,
69,0.85,0.9896,TRUE,25,,,,
70,0.9,0.9924,TRUE,25,,,,
71,0.95,0.9944,TRUE,25,,,,
72,1,0.9964,TRUE,25,,,,
73,1,0.9976,TRUE,25,,,,
74,1,0.9984,TRUE,25,,,,
75,1,0.9992,TRUE,25,,,,
76,1,1,TRUE,25,,,,
77,1,1,TRUE,25,,,,
78,1,1,TRUE,25,,,,
79,1,1,TRUE,25,,,,
80,1,1,TRUE,25,,,,
81,1,1,TRUE,25,,,,
82,1,1,TRUE,25,,,,
83,1,1,TRUE,25,,,,
84,1,1,TRUE,25,,,,
85,1,1,TRUE,25,,,,
86,1,1,TRUE,25,,,,
87,1,1,TRUE,25,,,,
88,1,1,TRUE,25,,,,
89,1,1,TRUE,25,,,,
90,1,1,FALSE,25,,,,
91,0.98,1,FALSE,25,,,,
92,0.96,1,FALSE,25,,,,
93,0.94,1,FALSE,25,,,,
94,0.92,1,FALSE,25,,,,
95,0.9,1,FALSE,25,,,,
96,0.88,1,FALSE,25,,,,
97,0.86,1,FALSE,25,,,,
98,0.84,1,FALSE,25,,,,
99,0.82,1,FALSE,25,,,,
100,0.8,1,FALSE,25,,,0.8343401335,0.8547722772
101,0.78,1,FALSE,25,,,,
102,0.76,1,FALSE,25,,,,
103,0.74,1,FALSE,25,,,,
104,0.72,1,FALSE,25,,,,
105,0.7,1,FALSE,0,,,,
106,0.68,1,FALSE,0,,,,
107,0.66,1,FALSE,0,,,,
108,0.64,1,FALSE,0,,,,
109,0.62,1,FALSE,0,,,,
110,0.6,1,FALSE,0,,,,
111,0.58,1,FALSE,0,,,,
112,0.56,1,FALSE,0,,,,
113,0.54,1,FALSE,0,,,,
114,0.52,1,FALSE,0,,,,
115,0.5,1,FALSE,0,,,,
116,0.48,1,FALSE,0,,,,
117,0.46,1,FALSE,0,,,,
118,0.44,1,FALSE,0,,,,
119,0.42,1,FALSE,0,,,,
120,0.4,1,TRUE,0,,,,
121,0.45,1,TRUE,0,,,,
122,0.5,1,TRUE,0,,,,
123,0.55,1,TRUE,0,,,,
124,0.6,1,TRUE,0,,,,
125,0.65,1,TRUE,0,,,,
126,0.7,1,TRUE,0,,,,
127,0.75,1,TRUE,25,,,,
128,0.8,1,TRUE,25,,,,
129,0.85,1,TRUE,25,,,,
130,0.9,1,TRUE,25,,,,
131,0.95,1,TRUE,25,,,,
132,1,1,TRUE,25,,,,
133,1,1,TRUE,25,,,,
134,1,1,TRUE,25,,,,
135,1,1,TRUE,25,,,,
136,1,1,TRUE,25,,,,
137,1,1,TRUE,25,,,,
138,1,1,TRUE,25,,,,
139,1,1,TRUE,25,,,,
140,1,1,TRUE,25,,,,
141,1,1,TRUE,25,,,,
142,1,1,TRUE,25,,,,
143,1,1,TRUE,25,,,,
144,1,1,TRUE,25,,,,
145,1,1,TRUE,25,,,,
146,1,1,TRUE,25,,,,
147,1,1,TRUE,25,,,,
148,1,1,TRUE,25,,,,
149,1,1,TRUE,25,,,,
150,1,1,FALSE,25,,,,
151,0.98,1,FALSE,25,,,,
152,0.96,1,FALSE,25,,,,
153,0.94,1,FALSE,25,,,,
154,0.92,1,FALSE,25,,,,
